entrezGeneId,hugoGeneSymbol,type
51611,DPH5,protein-coding
10003,NAALAD2,protein-coding
-3614,MIR-1178/1178,miRNA
89978,DPH6,protein-coding
92715,DPH7,protein-coding
28906,IGKV6-21,other
6733,SRPK2,protein-coding
26576,SRPK3,protein-coding
100861512,CDKN1A-AS1,ncRNA
-186,MIR-7152/5P,miRNA
51480,VCX2,protein-coding
6732,SRPK1,protein-coding
100132800,LOC100132800,protein-coding
131961,IMPDH1P8,pseudogene
391467,IMPDH1P7,pseudogene
441132,IMPDH1P9,pseudogene
93429,LOC93429,protein-coding
91404,SESTD1,protein-coding
646330,BTBD6P1,pseudogene
402394,IMPDH1P2,pseudogene
340499,IMPDH1P1,pseudogene
139334,IMPDH1P4,pseudogene
136307,IMPDH1P3,pseudogene
392267,IMPDH1P6,pseudogene
4838,NODAL,protein-coding
340780,IMPDH1P5,pseudogene
9802,DAZAP2,protein-coding
26528,DAZAP1,protein-coding
-23,MIR-99B/5P,miRNA
29923,HILPDA,protein-coding
101927278,HPS1-AS1,ncRNA
102723824,EML4-AS1,ncRNA
85495,RPPH1,ncRNA
106480092,RNU6-1203P,pseudogene
-136,MIR-877/877,miRNA
645180,ATOSBP1,pseudogene
-3431,MIR-128-2/128,miRNA
100418763,CCNT2P1,pseudogene
100189318,TRV-AAC1-1,tRNA
100188990,TRV-AAC1-2,tRNA
7241,TRV-AAC1-3,tRNA
8546,AP3B1,protein-coding
7239,TRV-AAC1-4,tRNA
791230,TRV-AAC1-5,tRNA
8120,AP3B2,protein-coding
121233926,CTTN-DT,ncRNA
1084,CEACAM3,protein-coding
100421125,SMC4P1,pseudogene
634,CEACAM1,protein-coding
106481560,RNU6-1204P,pseudogene
1087,CEACAM7,protein-coding
155,ADRB3,protein-coding
4680,CEACAM6,protein-coding
1048,CEACAM5,protein-coding
1089,CEACAM4,protein-coding
-24,MIR-99B/3P,miRNA
1088,CEACAM8,protein-coding
492295,RAC1P3,pseudogene
286472,RAC1P4,pseudogene
106481071,RN7SL549P,pseudogene
402183,RAC1P5,pseudogene
100422657,RAC1P6,pseudogene
100874390,RAC1P7,pseudogene
100874398,RAC1P8,pseudogene
100422658,RAC1P9,pseudogene
-3027,MIR-4303/4303,miRNA
89932,PAPLN,protein-coding
100127903,SPOPLP1,pseudogene
100132268,FKBP4P6,pseudogene
57037,ANKMY2,protein-coding
100505852,ZNF355P,pseudogene
-3707,MIR-555/555,miRNA
100132656,FKBP4P1,pseudogene
389727,FKBP4P2,pseudogene
106481942,RNU6-1201P,pseudogene
100174950,SPOPLP3,pseudogene
642381,SPOPLP2,pseudogene
79864,JHY,protein-coding
441410,FKBP4P7,pseudogene
51281,ANKMY1,protein-coding
643880,FKBP4P8,pseudogene
100507495,SDCBP2-AS1,ncRNA
28387,IGHV5-78,pseudogene
56913,C1GALT1,protein-coding
8943,AP3D1,protein-coding
124221,PRSS30P,pseudogene
119863865,PTPN23-DT,ncRNA
107985471,PEF1-AS1,ncRNA
-3256,MIR-466/466,miRNA
25782,RAB3GAP2,protein-coding
-2410,MIR-1973/1973,miRNA
6940,ZNF354A,protein-coding
100874219,TMEM212-AS1,ncRNA
387612,RAC1P1,pseudogene
30832,ZNF354C,protein-coding
22930,RAB3GAP1,protein-coding
442775,RAC1P2,pseudogene
117608,ZNF354B,protein-coding
106480384,RNU6ATAC25P,pseudogene
106479421,RN7SL547P,pseudogene
109616964,SNORA22B,snoRNA
-1267,MIR-490/490,miRNA
106480648,RNU6-1207P,pseudogene
84144,SYDE2,protein-coding
85360,SYDE1,protein-coding
106481383,RNU6-638P,pseudogene
109617002,SNORA21B,snoRNA
104326193,DLX2-DT,ncRNA
-2325,MIR-302B/302B*,miRNA
106480542,RNU6ATAC26P,pseudogene
106479420,RN7SL546P,pseudogene
26034,IPCEF1,protein-coding
645129,ZBTB45P1,pseudogene
729248,ZBTB45P2,pseudogene
100130409,BTF3P15,pseudogene
8813,DPM1,protein-coding
100132641,BTF3P14,pseudogene
8818,DPM2,protein-coding
54344,DPM3,protein-coding
643412,BTF3P16,pseudogene
-3681,MIR-105-1/3P,miRNA
106479848,RNU6-637P,pseudogene
690,BTF3P11,pseudogene
345829,BTF3P10,pseudogene
132556,BTF3P13,pseudogene
652963,BTF3P12,pseudogene
261726,TIPRL,protein-coding
109616965,SNORA22C,snoRNA
100507463,PSMB8-AS1,ncRNA
106480094,RNU6-1208P,pseudogene
283643,TEDC1,protein-coding
-2692,MIR-3195/3195,miRNA
80178,TEDC2,protein-coding
106481166,RNU6ATAC23P,pseudogene
109617003,SNORA24B,snoRNA
106481848,RN7SL545P,pseudogene
-2239,MIR-1283-2/1283,miRNA
153,ADRB1,protein-coding
50612,CXCL1P1,pseudogene
154,ADRB2,protein-coding
445815,PALM2AKAP2,protein-coding
10072,DPP3,protein-coding
1803,DPP4,protein-coding
106480093,RNU6-1205P,pseudogene
1804,DPP6,protein-coding
29952,DPP7,protein-coding
102723385,COQ7-DT,ncRNA
54878,DPP8,protein-coding
91039,DPP9,protein-coding
57513,CASKIN2,protein-coding
57524,CASKIN1,protein-coding
728194,RSPH10B2,protein-coding
94233,OPN4,protein-coding
23596,OPN3,protein-coding
109623459,SNORA25B,snoRNA
106479554,RNU6ATAC24P,pseudogene
106481070,RN7SL544P,pseudogene
221391,OPN5,protein-coding
106481561,RNU6-1206P,pseudogene
106479849,RNU6-639P,pseudogene
133746,JMY,protein-coding
6734,SRPRA,protein-coding
58477,SRPRB,protein-coding
55698,RADIL,protein-coding
401687,OR5J1P,pseudogene
574036,SERTAD4-AS1,ncRNA
50837,TAS2R7,protein-coding
50835,TAS2R9,protein-coding
50836,TAS2R8,protein-coding
4567,MT-TL1,tRNA
106481168,RNU6ATAC29P,pseudogene
4568,MT-TL2,tRNA
100505385,IQCJ-SCHIP1,other
641364,SLC7A11-AS1,ncRNA
-3674,MIR-548I-4/548I,miRNA
106480378,RN7SL543P,pseudogene
100147752,RNU5B-4P,pseudogene
624,BDKRB2,protein-coding
623,BDKRB1,protein-coding
50834,TAS2R1,protein-coding
106479847,RNU6-634P,pseudogene
50831,TAS2R3,protein-coding
338396,TAS2R2,protein-coding
54429,TAS2R5,protein-coding
50832,TAS2R4,protein-coding
100885797,BPY2DP,pseudogene
100874321,RASA3-IT1,ncRNA
100421478,GARIN3P1,pseudogene
101929574,TSPAN14-AS1,ncRNA
137805493,SCDAL,ncRNA
-3910,MIR-940/940,miRNA
-959,MIR-548A-3/548A,miRNA
106481381,RNU6-633P,pseudogene
106479419,RN7SL542P,pseudogene
100147753,RNU5B-5P,pseudogene
504175,OR3D1P,pseudogene
403276,OR5J7P,pseudogene
106479964,RNU6-899P,pseudogene
100419324,BCL9P1,pseudogene
106481167,RNU6ATAC27P,pseudogene
403235,OR2AO1P,pseudogene
151579,BZW1P2,pseudogene
391592,BZW1P1,pseudogene
574533,NUDT15P2,pseudogene
574532,NUDT15P1,pseudogene
554203,JPX,ncRNA
106480597,RNU6-636P,pseudogene
646360,TMEM161BP1,pseudogene
9185,REPS2,protein-coding
1901,S1PR1,protein-coding
-883,MIR-550-1/5P,miRNA
106481069,RN7SL541P,pseudogene
1903,S1PR3,protein-coding
9294,S1PR2,protein-coding
53637,S1PR5,protein-coding
100874419,IPPKP1,pseudogene
8698,S1PR4,protein-coding
106480095,RNU6-1209P,pseudogene
100147750,RNU5B-2P,pseudogene
85021,REPS1,protein-coding
51389,RWDD1,protein-coding
106479555,RNU6ATAC28P,pseudogene
25950,RWDD3,protein-coding
201965,RWDD4,protein-coding
400174,SSBP3P5,pseudogene
646674,SSBP3P6,pseudogene
100132723,SSBP3P3,pseudogene
100132698,SSBP3P4,pseudogene
126695,KDF1,protein-coding
100189257,TRN-GTT11-2,tRNA
100129321,SSBP3P1,pseudogene
107985763,TRN-GTT11-1,tRNA
401002,SSBP3P2,pseudogene
130367,SGPP2,protein-coding
81537,SGPP1,protein-coding
100287028,ANKRD33BP5,pseudogene
100652976,ANKRD33BP4,pseudogene
100507606,ANKRD33BP3,pseudogene
503834,DPRX,protein-coding
100129384,ANKRD33BP2,pseudogene
100419920,ANKRD33BP1,pseudogene
7511,XPNPEP1,protein-coding
7512,XPNPEP2,protein-coding
63929,XPNPEP3,protein-coding
100526739,CENPS-CORT,other
109616963,SNORA20B,snoRNA
106481382,RNU6-635P,pseudogene
100420025,ANKRD33BP9,pseudogene
100420021,ANKRD33BP8,pseudogene
-3670,MIR-105-1/5P,miRNA
100420024,ANKRD33BP7,pseudogene
100507561,ANKRD33BP6,pseudogene
100147751,RNU5B-3P,pseudogene
8882,ZPR1,protein-coding
50618,ITSN2,protein-coding
8629,JRK,protein-coding
28445,IGHV3-20,other
100189350,TRH-GTG2-1,tRNA
28444,IGHV3-21,other
28443,IGHV3-22,pseudogene
100101629,GAGE8,protein-coding
28442,IGHV3-23,other
6453,ITSN1,protein-coding
106480956,RN7SL127P,pseudogene
106480369,RN7SKP281,pseudogene
80701,AKR1D1P1,pseudogene
106480919,RN7SKP282,pseudogene
28441,IGHV3-25,pseudogene
-1373,MIR-4774/5P,miRNA
106479220,RN7SKP280,pseudogene
28440,IGHV3-29,pseudogene
101232810,STMN3P1,pseudogene
388524,RPSA2,protein-coding
106479224,RN7SKP289,pseudogene
102723451,FAM243B,protein-coding
106480921,RN7SKP287,pseudogene
106479223,RN7SKP288,pseudogene
106480920,RN7SKP285,pseudogene
106481822,RN7SKP286,pseudogene
106479221,RN7SKP283,pseudogene
106479663,RNU6-218P,pseudogene
106479222,RN7SKP284,pseudogene
402191,NOL8P1,pseudogene
51479,ANKFY1,protein-coding
100462886,TAF13P2,pseudogene
441931,VN1R17P,pseudogene
246112,TAF13P1,pseudogene
100856791,TBPL1P1,pseudogene
-218,MIR-7-2/2*,miRNA
51409,HEMK1,protein-coding
28439,IGHV3-30,other
1525,CXADR,protein-coding
-1338,MIR-4798/3P,miRNA
28435,IGHV3-32,pseudogene
28434,IGHV3-33,other
106479216,RN7SKP270,pseudogene
28432,IGHV3-35,other
106480916,RN7SKP271,pseudogene
106479268,RN7SL126P,pseudogene
28431,IGHV3-36,pseudogene
28430,IGHV3-37,pseudogene
28429,IGHV3-38,other
100189404,TRV-AAC7-1,tRNA
106480918,RN7SKP278,pseudogene
105372587,FAM242A,ncRNA
106480479,RN7SKP279,pseudogene
106479218,RN7SKP276,pseudogene
106479219,RN7SKP277,pseudogene
105379438,FAM242E,ncRNA
151354,LRATD1,protein-coding
4522,MTHFD1,protein-coding
112488742,FAM242D,ncRNA
106480917,RN7SKP275,pseudogene
157638,LRATD2,protein-coding
26254,OPTC,protein-coding
10797,MTHFD2,protein-coding
2130,EWSR1,protein-coding
112488744,FAM242C,ncRNA
106479217,RN7SKP272,pseudogene
106481821,RN7SKP273,pseudogene
105379478,FAM242B,ncRNA
106481246,RNU6-217P,pseudogene
10899,JTB,protein-coding
100133087,VN1R18P,pseudogene
-1356,MIR-4786/5P,miRNA
105376064,FAM242F,ncRNA
10133,OPTN,protein-coding
102724715,MYO1D-DT,ncRNA
441554,DUSP8P1,pseudogene
106903081,DUSP8P5,pseudogene
728657,DUSP8P2,pseudogene
106479211,RN7SKP260,pseudogene
102724159,LOC102724159,protein-coding
644119,RPS14P9,pseudogene
644146,RPS14P8,pseudogene
117134598,FAM246A,protein-coding
-1374,MIR-4774/3P,miRNA
105378585,ANKRD65-AS1,ncRNA
106480447,RAB11AP2,pseudogene
106480478,RN7SKP267,pseudogene
101929475,ITGB1-DT,ncRNA
100129731,RAB11AP1,pseudogene
106479215,RN7SKP268,pseudogene
106480914,RN7SKP265,pseudogene
102724643,FAM245B,ncRNA
106479214,RN7SKP266,pseudogene
728218,FAM245A,ncRNA
106480913,RN7SKP263,pseudogene
106479213,RN7SKP264,pseudogene
106480477,RN7SKP261,pseudogene
106479267,RN7SL125P,pseudogene
2831,NPBWR1,protein-coding
106479212,RN7SKP262,pseudogene
2832,NPBWR2,protein-coding
-217,MIR-7-2/3P,miRNA
100312804,VN1R15P,pseudogene
4048,LTA4H,protein-coding
106480915,RN7SKP269,pseudogene
-1387,MIR-4762/5P,miRNA
10614,HEXIM1,protein-coding
3129,HLA-DRB7,pseudogene
-3820,MIR-100/100*,miRNA
124790,HEXIM2,protein-coding
3128,HLA-DRB6,pseudogene
101928242,TMEM30BP1,pseudogene
3725,JUN,protein-coding
3127,HLA-DRB5,protein-coding
3126,HLA-DRB4,protein-coding
3728,JUP,protein-coding
100507404,TMLHE-AS1,ncRNA
28450,IGHV3-11,other
27102,EIF2AK1,protein-coding
3132,HLA-DRB9,pseudogene
-1337,MIR-4798/5P,miRNA
-1740,MIR-3913-1/3913,miRNA
100861507,FTCD-AS1,ncRNA
3130,HLA-DRB8,pseudogene
28449,IGHV3-13,other
9451,EIF2AK3,protein-coding
-780,MIR-616/616,miRNA
106478956,MDC1-AS1,ncRNA
5610,EIF2AK2,protein-coding
28448,IGHV3-15,other
440275,EIF2AK4,protein-coding
28447,IGHV3-16,other
100526842,RPL17-C18ORF32,other
100526836,BLOC1S5-TXNDC5,other
285266,ENTPD3-AS1,ncRNA
28446,IGHV3-19,pseudogene
-3718,MIR-567/567,miRNA
100419077,FCRL6P1,pseudogene
106480911,RN7SKP256,pseudogene
644068,RPS14P3,pseudogene
106479210,RN7SKP257,pseudogene
105377342,TSPAN5-DT,ncRNA
100271064,RPS14P2,pseudogene
106481820,RN7SKP254,pseudogene
100271063,RPS14P1,pseudogene
106479209,RN7SKP255,pseudogene
106479207,RN7SKP252,pseudogene
100271065,RPS14P7,pseudogene
106479208,RN7SKP253,pseudogene
646737,RPS14P6,pseudogene
106479664,RNU6-219P,pseudogene
106479206,RN7SKP250,pseudogene
100133255,RPS14P5,pseudogene
106633807,RN7SKP251,pseudogene
106480955,RN7SL124P,pseudogene
100132382,RPS14P4,pseudogene
100312805,VN1R16P,pseudogene
3125,HLA-DRB3,protein-coding
3124,HLA-DRB2,pseudogene
106480912,RN7SKP258,pseudogene
3123,HLA-DRB1,protein-coding
106481751,RN7SKP259,pseudogene
80011,PSME3IP1,protein-coding
1807,DPYS,protein-coding
79831,KDM8,protein-coding
28604,TRBV6-3,other
28603,TRBV6-4,other
57008,RLFP1,pseudogene
28606,TRBV6-1,other
-1284,MIR-11399/11399,miRNA
29842,TFCP2L1,protein-coding
28605,TRBV6-2,other
28600,TRBV6-7,other
100506776,TRG-AS1,ncRNA
28599,TRBV6-8,other
28602,TRBV6-5,other
28601,TRBV6-6,other
106480909,RN7SKP245,pseudogene
789,SLC25A20P1,pseudogene
106479204,RN7SKP246,pseudogene
106481819,RN7SKP243,pseudogene
105372942,FAM247D,ncRNA
340527,NHSL2,protein-coding
28598,TRBV6-9,other
106479203,RN7SKP244,pseudogene
105377182,FAM247C,ncRNA
57224,NHSL1,protein-coding
107063536,RN7SKP241,pseudogene
106479266,RN7SL123P,pseudogene
106480908,RN7SKP242,pseudogene
106480805,NIFKP9,pseudogene
106479202,RN7SKP240,pseudogene
642907,NIFKP8,pseudogene
106479049,NIFKP7,pseudogene
100132796,NIFKP6,pseudogene
100128397,NIFKP5,pseudogene
-1406,MIR-4749/5P,miRNA
106479661,RNU6-214P,pseudogene
100128707,NIFKP4,pseudogene
106480910,RN7SKP249,pseudogene
100270648,NIFKP3,pseudogene
-1388,MIR-4762/3P,miRNA
645398,NIFKP2,pseudogene
106479205,RN7SKP247,pseudogene
100130597,LOC100130597,protein-coding
401825,NIFKP1,pseudogene
106480476,RN7SKP248,pseudogene
64377,CHST8,protein-coding
1846,DUSP4,protein-coding
83539,CHST9,protein-coding
1847,DUSP5,protein-coding
4166,CHST6,protein-coding
1844,DUSP2,protein-coding
56548,CHST7,protein-coding
1845,DUSP3,protein-coding
1843,DUSP1,protein-coding
100128171,MTFR1P1,pseudogene
651714,MUC20P1,pseudogene
117751732,FAM247B,ncRNA
1850,DUSP8,protein-coding
105372935,FAM247A,ncRNA
1852,DUSP9,protein-coding
1848,DUSP6,protein-coding
-1403,MIR-4750/5P,miRNA
1849,DUSP7,protein-coding
106480368,RN7SKP234,pseudogene
23757,ARSFP1,pseudogene
106479199,RN7SKP235,pseudogene
100130090,SFR1P1,pseudogene
246784,SMU1P1,pseudogene
117134596,FAM246C,protein-coding
106480905,RN7SKP232,pseudogene
117134597,FAM246B,protein-coding
106480475,RN7SKP233,pseudogene
106479197,RN7SKP230,pseudogene
106480954,RN7SL122P,pseudogene
106479198,RN7SKP231,pseudogene
106479365,RN7SL388P,pseudogene
730792,SFR1P2,pseudogene
1806,DPYD,protein-coding
8534,CHST1,protein-coding
100420798,PABPN1P2,pseudogene
106481331,RNU6-479P,pseudogene
106481244,RNU6-213P,pseudogene
106479201,RN7SKP238,pseudogene
10164,CHST4,protein-coding
106480907,RN7SKP239,pseudogene
100420758,PABPN1P1,pseudogene
23563,CHST5,protein-coding
106480906,RN7SKP236,pseudogene
128061,FSAF1,protein-coding
9435,CHST2,protein-coding
106479200,RN7SKP237,pseudogene
9469,CHST3,protein-coding
107986412,SLC1A3-AS1,ncRNA
100312843,VN1R19P,pseudogene
341315,PABPC1P4,pseudogene
26978,PABPC1P3,pseudogene
100128696,PABPC1P6,pseudogene
58527,ABRACL,protein-coding
100131374,PABPC1P5,pseudogene
100132766,PABPC1P8,pseudogene
100128183,PABPC1P7,pseudogene
100130338,PABPC1P9,pseudogene
106479194,RN7SKP223,pseudogene
106480902,RN7SKP224,pseudogene
106480474,RN7SKP221,pseudogene
106479265,RN7SL121P,pseudogene
106479193,RN7SKP222,pseudogene
140880,CST11,protein-coding
106481029,RN7SL387P,pseudogene
106480901,RN7SKP220,pseudogene
728773,PABPC1P2,pseudogene
26980,PABPC1P1,pseudogene
106479662,RNU6-216P,pseudogene
100189151,TRL-TAG2-1,tRNA
106480904,RN7SKP229,pseudogene
106481818,RN7SKP227,pseudogene
-1407,MIR-4749/3P,miRNA
106479196,RN7SKP228,pseudogene
106479195,RN7SKP225,pseudogene
100873904,MYB-AS1,ncRNA
106480903,RN7SKP226,pseudogene
84896,ATAD1,protein-coding
79915,ATAD5,protein-coding
100506731,FLRT2-AS1,ncRNA
29028,ATAD2,protein-coding
139135,PASD1,protein-coding
-1404,MIR-4750/3P,miRNA
106481750,RN7SKP212,pseudogene
100421629,METTL21AP1,pseudogene
106480899,RN7SKP213,pseudogene
106480898,RN7SKP210,pseudogene
-2101,MIR-1273A/1273A,miRNA
106480953,RN7SL120P,pseudogene
106479189,RN7SKP211,pseudogene
100419609,ZNF70P1,pseudogene
6244,RRM2P2,pseudogene
106479364,RN7SL386P,pseudogene
106481245,RNU6-215P,pseudogene
106480900,RN7SKP218,pseudogene
106479192,RN7SKP219,pseudogene
106479190,RN7SKP216,pseudogene
100420159,RRM2P3,pseudogene
106479191,RN7SKP217,pseudogene
6246,RRM2P4,pseudogene
106480473,RN7SKP214,pseudogene
100313852,PIRC26,ncRNA
100313907,PIRC27,ncRNA
100874394,EIF2AP2,pseudogene
100313810,PIRC24,ncRNA
100874393,EIF2AP1,pseudogene
100313851,PIRC25,ncRNA
100874401,EIF2AP4,pseudogene
100313850,PIRC22,ncRNA
100874395,EIF2AP3,pseudogene
100313786,PIRC23,ncRNA
100313785,PIRC20,ncRNA
100313916,PIRC21,ncRNA
-2313,MIR-1469/1469,miRNA
-210,MIR-708/5P,miRNA
106480472,RN7SKP202,pseudogene
30008,EFEMP2,protein-coding
106481840,RN7SL385P,pseudogene
106480895,RN7SKP200,pseudogene
2202,EFEMP1,protein-coding
148413,MRPL20-AS1,ncRNA
106479188,RN7SKP209,pseudogene
-2404,MIR-26A-1/3P,miRNA
106480897,RN7SKP207,pseudogene
51111,KMT5B,protein-coding
106481817,RN7SKP208,pseudogene
387893,KMT5A,protein-coding
106479777,RNU6-476P,pseudogene
106479186,RN7SKP205,pseudogene
7302,TYRO3P,pseudogene
106479187,RN7SKP206,pseudogene
106479185,RN7SKP203,pseudogene
100313893,PIRC28,ncRNA
106480896,RN7SKP204,pseudogene
106479659,RNU6-210P,pseudogene
100313927,PIRC29,ncRNA
100313848,PIRC15,ncRNA
7365,UGT2B10,protein-coding
100313849,PIRC16,ncRNA
100313925,PIRC13,ncRNA
3447,IFNA13,protein-coding
100313784,PIRC14,ncRNA
10720,UGT2B11,protein-coding
5833,PCYT2,protein-coding
3448,IFNA14,protein-coding
100313897,PIRC11,ncRNA
100189400,TRA-CGC2-1,tRNA
100313808,PIRC12,ncRNA
84787,KMT5C,protein-coding
3449,IFNA16,protein-coding
3451,IFNA17,protein-coding
100313783,PIRC10,ncRNA
7366,UGT2B15,protein-coding
7367,UGT2B17,protein-coding
-2324,MIR-302B/3P,miRNA
106479235,RN7SL30P,pseudogene
-1456,MIR-4713/5P,miRNA
100189338,TRN-GTT16-5,pseudogene
100189165,TRN-GTT16-4,tRNA
106481028,RN7SL384P,pseudogene
100189079,TRN-GTT16-3,tRNA
387316,VN1R10P,pseudogene
100189271,TRN-GTT16-2,tRNA
100189069,TRN-GTT16-1,tRNA
6427,SRSF2,protein-coding
6428,SRSF3,protein-coding
100130560,LOC100130560,protein-coding
6429,SRSF4,protein-coding
6430,SRSF5,protein-coding
5790,PTPRCAP,protein-coding
100313926,PIRC19,ncRNA
6431,SRSF6,protein-coding
-1438,MIR-4725/3P,miRNA
6432,SRSF7,protein-coding
100313809,PIRC17,ncRNA
10929,SRSF8,protein-coding
106479776,RNU6-475P,pseudogene
100313906,PIRC18,ncRNA
8683,SRSF9,protein-coding
3446,IFNA10,protein-coding
100313790,PIRC48,ncRNA
55904,KMT2E,protein-coding
100313929,PIRC49,ncRNA
8085,KMT2D,protein-coding
100313858,PIRC46,ncRNA
100313859,PIRC47,ncRNA
100313908,PIRC44,ncRNA
4297,KMT2A,protein-coding
100313813,PIRC45,ncRNA
100313789,PIRC42,ncRNA
58508,KMT2C,protein-coding
100313857,PIRC43,ncRNA
9757,KMT2B,protein-coding
100313898,PIRC40,ncRNA
-211,MIR-708/3P,miRNA
100313917,PIRC41,ncRNA
128266837,ZNF248-AS1,ncRNA
106479363,RN7SL383P,pseudogene
125336,LOXHD1,protein-coding
-1627,MIR-8059/8059,miRNA
-2875,MIR-182/182*,miRNA
124902814,TTC12-DT,ncRNA
101928781,TMEM26-AS1,ncRNA
106479778,RNU6-478P,pseudogene
11154,AP4S1,protein-coding
-2405,MIR-26A-1/5P,miRNA
2531,KDSR,protein-coding
100130573,LOC100130573,protein-coding
106481243,RNU6-212P,pseudogene
101926977,VIRMA-DT,ncRNA
3452,IFNA21,protein-coding
100313812,PIRC37,ncRNA
100313788,PIRC38,ncRNA
100313855,PIRC35,ncRNA
100313928,PIRC36,ncRNA
100313854,PIRC33,ncRNA
100313890,PIRC34,ncRNA
100313787,PIRC31,ncRNA
100313811,PIRC32,ncRNA
100313853,PIRC30,ncRNA
107080627,IQCA1-AS1,ncRNA
57648,NHSL3,protein-coding
106481027,RN7SL382P,pseudogene
8419,BFSP2,protein-coding
631,BFSP1,protein-coding
122622,ADSS1,protein-coding
100422646,ACCSLP1,pseudogene
81037,CLPTM1L,protein-coding
159,ADSS2,protein-coding
106481330,RNU6-477P,pseudogene
643181,FADS2B,pseudogene
106479660,RNU6-211P,pseudogene
100313856,PIRC39,ncRNA
-1437,MIR-4725/5P,miRNA
106481328,RNU6-472P,pseudogene
28417,IGHV3-60,pseudogene
391681,EXOC7P1,pseudogene
28416,IGHV3-62,pseudogene
28415,IGHV3-63,pseudogene
28414,IGHV3-64,other
-1473,MIR-4701/3P,miRNA
28413,IGHV3-65,pseudogene
28412,IGHV3-66,other
100131223,ARL8BP2,pseudogene
127566425,ARL8BP1,pseudogene
55196,RESF1,protein-coding
9179,AP4M1,protein-coding
81185,OR5P4P,pseudogene
100289274,DNAJC3-DT,ncRNA
-216,MIR-7-2/5P,miRNA
100506897,DAPK1-IT1,ncRNA
579,NKX3-2,protein-coding
106479362,RN7SL381P,pseudogene
387322,VN1R13P,pseudogene
4824,NKX3-1,protein-coding
28411,IGHV3-71,pseudogene
28410,IGHV3-72,other
28409,IGHV3-73,other
115253418,COPDA1,ncRNA
106479774,RNU6-471P,pseudogene
28408,IGHV3-74,other
9605,VPS9D1,protein-coding
100129277,TPMTP3,pseudogene
28407,IGHV3-75,pseudogene
100129298,TPMTP4,pseudogene
28406,IGHV3-76,pseudogene
400650,TPMTP1,pseudogene
100420393,TPMTP2,pseudogene
28405,IGHV3-79,pseudogene
100128022,PLEKHB2P1,pseudogene
81322,OR4A21P,pseudogene
-3692,MIR-548Z/548Z,miRNA
106479361,RN7SL380P,pseudogene
387320,VN1R14P,pseudogene
6290,SAA3P,pseudogene
28428,IGHV3-41,pseudogene
28427,IGHV3-42,pseudogene
28426,IGHV3-43,other
6426,SRSF1,protein-coding
-3427,MIR-4770/4770,miRNA
54490,UGT2B28,protein-coding
28425,IGHV3-47,pseudogene
28424,IGHV3-48,other
28423,IGHV3-49,other
64779,MTHFSD,protein-coding
100129572,LOC100129572,protein-coding
-3179,MIR-4518/4518,miRNA
1869,E2F1,protein-coding
1870,E2F2,protein-coding
1871,E2F3,protein-coding
-1472,MIR-4701/5P,miRNA
1874,E2F4,protein-coding
-3783,MIR-102-1/29B,miRNA
1875,E2F5,protein-coding
387317,VN1R11P,pseudogene
1876,E2F6,protein-coding
106481329,RNU6-474P,pseudogene
144455,E2F7,protein-coding
79733,E2F8,protein-coding
106479775,RNU6-473P,pseudogene
28422,IGHV3-50,pseudogene
285033,STARD7-AS1,ncRNA
122526779,SMIM10L3,protein-coding
28421,IGHV3-52,pseudogene
28420,IGHV3-53,other
100129361,SMIM10L1,protein-coding
28419,IGHV3-54,pseudogene
55359,STYK1,protein-coding
643246,MAP1LC3B2,protein-coding
28418,IGHV3-57,pseudogene
-1457,MIR-4713/3P,miRNA
79283,OR5P1P,pseudogene
375616,KCP,protein-coding
387321,VN1R12P,pseudogene
100130542,LOC100130542,protein-coding
93233,ODAD1,protein-coding
115948,ODAD3,protein-coding
55130,ODAD2,protein-coding
83538,ODAD4,protein-coding
-151,MIR-769/5P,miRNA
157713,LYPLA1P3,pseudogene
3384,ICAM2,protein-coding
3385,ICAM3,protein-coding
-2269,MIR-1302-7/1302,miRNA
3386,ICAM4,protein-coding
10320,IKZF1,protein-coding
7087,ICAM5,protein-coding
106479233,RN7SL25P,pseudogene
22807,IKZF2,protein-coding
22806,IKZF3,protein-coding
100129401,LYPLA1P1,pseudogene
64375,IKZF4,protein-coding
114515517,VINAC1P,pseudogene
391686,LYPLA1P2,pseudogene
64376,IKZF5,protein-coding
3383,ICAM1,protein-coding
100506462,SRD5A3-AS1,ncRNA
440456,PLEKHM1P1,pseudogene
728233,PI4KAP1,pseudogene
375337,TOPAZ1,protein-coding
375133,PI4KAP2,pseudogene
3791,KDR,protein-coding
394214,COL11A2P1,pseudogene
-77,MIR-92B/92B*,miRNA
101928238,ZNF426-DT,ncRNA
100313875,PIRC99,ncRNA
100313821,PIRC97,ncRNA
100313874,PIRC98,ncRNA
-3315,MIR-135B/135B*,miRNA
100313935,PIRC95,ncRNA
100313800,PIRC96,ncRNA
100313934,PIRC93,ncRNA
100313799,PIRC94,ncRNA
100313900,PIRC91,ncRNA
106479234,RN7SL26P,pseudogene
100313920,PIRC92,ncRNA
100313798,PIRC90,ncRNA
150946,GAREM2,protein-coding
64762,GAREM1,protein-coding
3792,KEL,protein-coding
-1492,MIR-663A/663A,miRNA
106479773,RNU6-470P,pseudogene
100874189,NKX2-2-AS1,ncRNA
9725,TMEM63A,protein-coding
442161,RPL7L1P20,pseudogene
55362,TMEM63B,protein-coding
100420170,RPL7L1P21,pseudogene
57156,TMEM63C,protein-coding
100420166,RPL7L1P22,pseudogene
645269,TMEM256P1,pseudogene
440434,NPEPPSP1,pseudogene
